Transcript_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g10384.t1	0	1	0	0	2	0	0	0
g10385.t1	0	0	0	0	0	0	0	0
g10386.t1	0	0	0	0	0	0	0	0
g10387.t1	0	0	0	0	0	0	0	0
g10388.t1	0	0	0	0	0	0	0	0
g10389.t1	0	0	0	0	0	0	0	0
g1039.t1	57	56	44	44	61	27	41	41
g10390.t1	0	0	0	0	0	0	0	0
g10391.t1	0	0	0	0	0	0	0	0
g10391.t2	0	0	0	0	0	0	0	0
g10392.t1	0	0	0	0	0	0	0	0
g10393.t1	0	0	0	0	0	0	0	0
g10394.t1	0	0	0	0	0	0	0	0
g10395.t1	0	0	0	0	0	0	2	2
g10396.t1	0	0	0	0	0	0	0	0
g10397.t1	0	0	0	0	3	0	0	0
g10398.t1	0	0	0	0	0	0	0	0
g10398.t2	0	2	0	0	0	0	0	0
g10399.t1	0	0	0	0	0	2	0	0
g104.t1	0	4	7	7	11	13	10	10
g1040.t1	0	6	0	0	0	0	0	0
g10400.t1	0	2	0	0	0	0	12	12
g10401.t1	7	10	0	0	4	3	0	0
g10402.t1	19	8	12	12	23	16	21	21
g10403.t1	0	0	0	0	0	0	0	0
g10404.t1	0	0	0	0	0	0	0	0
g10405.t1	0	10	0	0	0	0	5	5
g10406.t1	2	0	0	0	0	0	0	0
g10407.t1	20	20	17	17	16	18	8	8
g10408.t1	0	0	0	0	0	0	0	0
g10409.t1	0	14	12	12	4	0	7	7
g1041.t1	0	0	0	0	0	0	0	0
g1041.t2	0	0	0	0	0	0	0	0
g1041.t3	3	0	0	0	0	0	0	0
g10410.t1	8	10	6	6	0	4	9	9
g10411.t1	1	1	1	1	4	1	1	1
g10411.t2	17	48	27	27	28	24	27	27
g10412.t1	0	0	0	0	0	0	0	0
g10413.t1	2	14	2	2	3	3	0	0
g10414.t1	0	0	0	0	0	0	0	0
g10415.t1	12	10	17	17	0	5	7	7
g10416.t1	3	0	0	0	0	3	9	9
g10417.t1	0	0	2	2	0	3	0	0
g10418.t1	0	0	0	0	0	0	0	0
g10419.t1	0	0	0	0	0	0	0	0
g1042.t1	0	3	0	0	0	7	7	7
g10420.t1	0	0	0	0	0	2	0	0
g10421.t1	0	1	0	0	0	0	0	0
g10422.t1	34	35	19	19	39	34	37	37
g10423.t1	0	0	0	0	0	0	0	0
g10423.t2	0	0	0	0	0	0	0	0
g10424.t1	11	15	5	5	12	12	0	0
g10425.t1	21	27	17	17	17	17	29	29
g10426.t1	0	7	0	0	2	6	0	0
g10427.t1	0	0	10	10	17	0	13	13
g10428.t1	4	0	0	0	0	0	0	0
g10429.t1	0	5	0	0	0	2	0	0
g10429.t2	0	0	0	0	0	0	0	0
g10429.t3	0	0	3	3	0	0	0	0
g1043.t1	12	6	4	4	11	11	6	6
g1043.t2	0	0	0	0	0	0	0	0
g10430.t1	0	0	0	0	0	0	0	0
g10431.t1	4	0	0	0	0	0	0	0
g10431.t2	0	0	0	0	0	0	0	0
g10431.t3	12	26	9	9	14	18	10	10
g10431.t4	0	0	0	0	0	0	0	0
