Gene_ID	CYP6A9-24-1/final	CYP6A9-24-2/final	CYP6A9-48-1/final	CYP6A9-48-2/final	GFP-24-1/final	GFP-24-2/final	GFP-48-1/final	GFP-48-2/final
g435	0	0	0	0	0	0	0	0
g4350	27	21	30	30	19	24	25	25
g4351	0	0	0	0	0	0	0	0
g4352	0	0	0	0	0	0	0	0
g4353	0	0	0	0	0	0	0	0
g4354	0	0	0	0	0	0	0	0
g4355	8	4	0	0	0	0	0	0
g4356	12	10	4	4	11	4	19	19
g4357	0	0	0	0	6	0	0	0
g4358	0	0	0	0	0	0	0	0
g4359	0	0	0	0	0	0	0	0
g436	5	0	0	0	0	0	0	0
g4360	13	14	16	16	10	32	12	12
g4361	0	0	0	0	0	0	0	0
g4362	0	8	0	0	0	6	0	0
g4363	7	15	14	14	4	11	8	8
g4364	2	0	0	0	0	0	0	0
g4365	0	0	0	0	0	0	0	0
g4366	0	0	0	0	0	0	0	0
g4367	8	0	5	5	7	0	16	16
g4368	0	0	0	0	0	0	0	0
g4369	0	0	0	0	0	0	0	0
g437	0	2	6	6	0	2	0	0
g4370	6	7	0	0	10	7	10	10
g4371	0	0	0	0	0	0	0	0
g4372	0	0	0	0	0	0	0	0
g4373	16	11	8	8	12	15	8	8
g4374	0	0	0	0	0	0	0	0
g4375	0	0	0	0	2	0	0	0
g4376	15	19	10	10	20	18	11	11
g4377	18	0	12	12	14	8	10	10
g4378	3	0	2	2	0	0	0	0
g4379	22	16	21	21	25	13	8	8
g438	0	4	2	2	2	4	0	0
g4380	8	0	3	3	8	6	7	7
g4381	0	0	0	0	2	2	0	0
g4382	8	17	13	13	20	6	0	0
g4383	7	5	4	4	0	0	0	0
g4384	1	4	1	1	3	1	1	1
g4385	8	3	10	10	5	5	9	9
g4386	0	0	0	0	0	0	0	0
g4387	0	0	0	0	0	0	0	0
g4388	2	0	0	0	0	0	0	0
g4389	3	0	0	0	0	0	0	0
g439	0	0	0	0	0	0	0	0
g4390	6	0	0	0	0	0	0	0
g4391	0	0	0	0	0	0	0	0
g4392	2	6	0	0	6	8	6	6
g4393	0	0	0	0	0	0	0	0
g4394	0	0	0	0	0	0	0	0
g4395	9	13	17	17	15	8	7	7
g4396	0	0	0	0	0	0	0	0
g4397	0	0	0	0	0	0	0	0
